,Team_Name,Wins,Losses,Ties,Win_PCTPoints_For,Points_Against,Points_For,Win_Streak
0,Philadelphia Eagles,4,0,0,,71,115,4W
1,Buffalo Bills,3,1,0,,58,114,1W
2,Dallas Cowboys,3,1,0,,62,71,3W
3,Green Bay Packers,3,1,0,,69,75,3W
4,Kansas City Chiefs,3,1,0,,96,129,1W
5,Miami Dolphins,3,1,0,,91,98,1L
6,Minnesota Vikings,3,1,0,,80,86,2W
7,New York Giants,3,1,0,,71,76,1W
8,Los Angeles Rams,2,1,0,,70,61,2W
9,Arizona Cardinals,2,2,0,,103,88,1W
10,Atlanta Falcons,2,2,0,,101,103,2W
11,Baltimore Ravens,2,2,0,,100,119,1L
12,Chicago Bears,2,2,0,,77,64,1L
13,Cincinnati Bengals,2,2,0,,70,91,2W
14,Cleveland Browns,2,2,0,,95,105,1L
15,Denver Broncos,2,2,0,,68,66,1L
16,Jacksonville Jaguars,2,2,0,,67,105,1L
17,Los Angeles Chargers,2,2,0,,108,92,1W
18,New York Jets,2,2,0,,101,76,1W
19,Seattle Seahawks,2,2,0,,115,95,1W
20,Tampa Bay Buccaneers,2,2,0,,68,82,2L
21,Tennessee Titans,2,2,0,,101,75,2W
22,Indianapolis Colts,1,2,1,,85,57,1L
23,San Francisco 49ers,1,2,0,,37,47,1L
24,Carolina Panthers,1,3,0,,85,78,1L
25,Detroit Lions,1,3,0,,141,140,2L
26,Las Vegas Raiders,1,3,0,,100,96,1W
27,New England Patriots,1,3,0,,98,74,2L
28,New Orleans Saints,1,3,0,,96,76,3L
29,Pittsburgh Steelers,1,3,0,,90,74,3L
30,Washington Commanders,1,3,0,,107,73,3L
31,Houston Texans,0,3,1,,93,73,3L
